LAT;-29,09837;;;;;;;;
LONG;-51,66788;;;;;;;;
;HC Air temperature [°C];Dew Point [°C];Solar radiation [W/m2];HC Relative humidity [%];Precipitation [mm];Leaf Wetness [min];Wind speed [m/s];Battery [mV];
Date/Time;avg;avg;avg;avg;sum;time;avg;last;Daily ET0 [mm]
2020-12-05 15:00:00;17,06;16,1;160;95,16;0;0;1,5;6972;
2020-12-05 14:00:00;17,22;16,2;183;94,45;0;0;1,7;6972;
2020-12-05 13:00:00;18,07;16;244;88,84;0;0;1,4;6972;
2020-12-05 12:00:00;17,53;15,5;294;88,91;0;0;1,6;6982;
2020-12-05 11:00:00;16,45;15,5;166;95,09;0;0;1,4;6972;
2020-12-05 10:00:00;15,95;15,7;97;99,34;0;0;1,2;6826;
2020-12-05 09:00:00;16,19;16;53;99,48;0;0;1,2;6660;
2020-12-05 08:00:00;16,33;16,1;42;99,26;0;0;1;6630;
2020-12-05 07:00:00;16,18;16,1;0;100;0;0;0,6;6542;
2020-12-05 06:00:00;16,09;16;0;100;0;0;0,9;6522;
2020-12-05 05:00:00;16,12;15,9;0;99,86;0;0;0,8;6542;
2020-12-05 04:00:00;16,32;15,9;0;98,3;0;0;1,1;6532;
2020-12-05 03:00:00;16,53;15,8;0;96,5;0;0;1;6542;
2020-12-05 02:00:00;16,81;15,9;0;95,1;0;0;0,9;6562;
2020-12-05 01:00:00;17,45;16,7;0;96,31;0;0;1,6;6572;
2020-12-05 00:00:00;18,15;17,3;0;96,04;0;0;1;6590;4,8
2020-12-04 23:00:00;18,39;14,5;0;79,31;0;0;1;6630;
2020-12-04 22:00:00;19,45;10,6;0;57,43;0;0;0,8;6660;
2020-12-04 21:00:00;21,02;14,8;0;68,73;0;0;1,4;6708;
2020-12-04 20:00:00;23,1;17,5;59;71,87;0;0;1,4;6796;
2020-12-04 19:00:00;24,43;18,7;165;71,58;0;0;0,8;6952;
2020-12-04 18:00:00;25,73;19,2;339;68,1;0;0;0,7;6962;
2020-12-04 17:00:00;27,33;19,1;566;61,93;0;0;0,4;6972;
2020-12-04 16:00:00;27,31;18,9;645;61,2;0;0;0,4;6962;
2020-12-04 15:00:00;27,85;18,3;948;57,01;0;0;0,4;6972;
2020-12-04 14:00:00;26,64;18,3;1141;61,21;0;0;0,7;6972;
2020-12-04 13:00:00;24,53;19,9;1022;76,7;0;0;0,9;6972;
2020-12-04 12:00:00;24,19;21,6;1076;86,54;0;10;0,3;6972;
2020-12-04 11:00:00;21,4;20,9;652;98,18;0;60;0,1;6972;
2020-12-04 10:00:00;18,24;18,2;245;100;0;60;0,4;6972;
2020-12-04 09:00:00;17,96;17,9;95;100;0;60;0;6816;
2020-12-04 08:00:00;17,63;17,5;56;100;0;60;0;6678;
2020-12-04 07:00:00;17,27;17,2;0;100;0;60;0,5;6562;
2020-12-04 06:00:00;17,41;17,3;0;100;0;60;0,6;6552;
2020-12-04 05:00:00;17,54;17,5;0;100;0;60;0,2;6552;
2020-12-04 04:00:00;17,75;17,7;0;100;0;60;0;6542;
2020-12-04 03:00:00;17,85;17,8;0;100;0;60;0;6562;
2020-12-04 02:00:00;17,93;17,8;0;100;0;60;0;6552;
2020-12-04 01:00:00;18,09;18;0;100;0;60;0;6572;
2020-12-04 00:00:00;18,59;18,5;0;100;0;60;0;6600;4
2020-12-03 23:00:00;18,78;18,7;0;100;0;60;0;6620;
2020-12-03 22:00:00;18,55;18,5;0;100;0,2;60;0;6668;
2020-12-03 21:00:00;19,25;19,2;0;100;0;60;0;6718;
2020-12-03 20:00:00;19,76;19,7;21;100;0;60;0;6796;
2020-12-03 19:00:00;19,79;19,7;77;100;0;60;0,5;6962;
2020-12-03 18:00:00;20,92;20,7;117;99,49;2,8;50;1;6972;
2020-12-03 17:00:00;24,05;21,1;174;85,21;0;0;0,7;6904;
2020-12-03 16:00:00;28,36;19,6;659;59,99;0;0;0,7;6952;
2020-12-03 15:00:00;27,88;19,6;975;61,91;0;0;1,1;6972;
2020-12-03 14:00:00;26,17;20,4;1029;71,72;0;30;1,4;6972;
2020-12-03 13:00:00;23,68;22,3;616;92,99;1,2;45;1;6982;
2020-12-03 12:00:00;23,85;22,3;594;91,9;0;0;1,6;6972;
2020-12-03 11:00:00;22,55;21,7;606;95,96;0;0;2,9;6972;
2020-12-03 10:00:00;21,47;20,9;275;97,7;0;0;3,2;6972;
2020-12-03 09:00:00;20,48;20,4;120;99,85;0;30;2,8;6854;
2020-12-03 08:00:00;19,76;19,7;52;100;0;60;1,2;6640;
2020-12-03 07:00:00;19,27;19,2;0;100;0;60;0,5;6552;
2020-12-03 06:00:00;18,84;18,7;0;100;0;60;0;6542;
2020-12-03 05:00:00;18,67;18,6;0;100;0;60;0,2;6552;
2020-12-03 04:00:00;18,71;18,6;0;100;0;60;1,1;6552;
2020-12-03 03:00:00;18,54;18,5;0;100;0;60;0,9;6552;
2020-12-03 02:00:00;18,92;18,8;0;100;1,6;60;1,5;6552;
2020-12-03 01:00:00;19,52;19,4;0;100;3,8;60;0,5;6562;
2020-12-03 00:00:00;19,54;19,5;0;100;5;60;0;6572;5,6
2020-12-02 23:00:00;19,63;19,5;0;100;1,4;60;0;6582;
2020-12-02 22:00:00;19,66;19,6;0;100;5;60;0,6;6600;
2020-12-02 21:00:00;21,69;20,9;0;96,19;22;50;1,7;6640;
2020-12-02 20:00:00;27,43;21,8;10;72,61;0;0;2,4;6688;
2020-12-02 19:00:00;29,61;20,8;80;60,27;0;0;0,5;6786;
2020-12-02 18:00:00;31,39;19,6;289;50,5;0;0;0,3;6952;
2020-12-02 17:00:00;32,19;19,6;570;48,34;0;0;0,7;6962;
2020-12-02 16:00:00;32,77;19,7;702;47,04;0;0;0,4;6962;
2020-12-02 15:00:00;32,86;20,3;1035;48,46;0;0;0,3;6962;
2020-12-02 14:00:00;31,67;21,5;1084;55,75;0;0;0,7;6962;
2020-12-02 13:00:00;30,7;22;1103;60,66;0;0;0,7;6962;
2020-12-02 12:00:00;28,67;21,4;929;65,55;0;0;0,4;6972;
2020-12-02 11:00:00;26,94;20,7;741;69,64;0;0;1;6962;
2020-12-02 10:00:00;24,44;19,8;605;76,3;0;0;1,4;6972;
2020-12-02 09:00:00;22,6;19,1;281;81,22;0;0;1,8;6834;
