LAT;DUMMY;;;;;;;;;;
LONG;DUMMY;;;;;;;;;;
;Temperatura do Ar [°C];Ponto de orvalho [°C];Radiação Solar [W/m2];DPV [kPa];Precipitação [mm];Velocidade do Vento [km/h];Veloc Max do Vento [km/h];Painel Solar [mV];Bateria [mV];DeltaT [°C];
Data/Hora;méd;méd;méd;méd;soma;méd;máx;últ;últ;méd;Evapotranspiração Diária [mm]
2020-11-09 11:00:00;20,93;17,8;108;0,41;0;7,2;21,2;8109;6776;2;
2020-11-09 10:00:00;20,69;17,5;84;0,42;0;5,4;12,6;9116;6776;2;
2020-11-09 09:00:00;20,23;17,2;20;0,39;0;6,5;18;4855;6659;2;
2020-11-09 08:00:00;19,81;17;39;0,36;0;7,6;19,8;5277;6662;2;
2020-11-09 07:00:00;19,18;16,2;0;0,36;0;6,8;18,7;2425;6474;2;
2020-11-09 06:00:00;19,2;15,7;0;0,41;0;6,8;14,4;0;6462;2;
2020-11-09 05:00:00;19,23;15,6;0;0,44;0;5,8;13,7;0;6465;2;
2020-11-09 04:00:00;19,2;15,5;0;0,45;0;6,5;16,2;0;6479;2;
2020-11-09 03:00:00;19,06;15,4;0;0,44;0;5,4;15,5;0;6479;2;
2020-11-09 02:00:00;18,92;15,2;0;0,44;0;7,2;18,7;0;6488;2;
2020-11-09 01:00:00;19,3;15,1;0;0,51;0;7,6;17,3;0;6496;3;
2020-11-09 00:00:00;19,67;14,9;0;0,58;0;9,4;24,1;0;6502;3;5,7
2020-11-08 23:00:00;20,28;15,1;0;0,65;0;9,7;21,6;0;6502;3;
2020-11-08 22:00:00;21,17;15,4;0;0,74;0;10,8;27,4;0;6511;4;
2020-11-08 21:00:00;22,43;15,5;0;0,93;0;11,2;23,8;0;6519;4;
2020-11-08 20:00:00;24,24;15,4;26;1,25;0;11,5;26,3;0;6622;5;
2020-11-08 19:00:00;26,36;15,5;207;1,66;0;11,5;24,5;8828;6773;7;
2020-11-08 18:00:00;27,57;15,4;387;1,92;0;11,5;23,8;9658;6796;8;
2020-11-08 17:00:00;28,19;15,5;631;2,04;0;10,8;24,5;10108;6790;8;
2020-11-08 16:00:00;28,22;15,5;738;2,05;0;11,9;32;10075;6784;8;
2020-11-08 15:00:00;28,15;15,5;1027;2,03;0;13,3;30,6;10142;6787;8;
2020-11-08 14:00:00;27,37;15,7;1123;1,84;0;12,6;31,3;10199;6784;7;
2020-11-08 13:00:00;26,48;16;996;1,62;0;11,5;24,5;10185;6784;7;
2020-11-08 12:00:00;25,59;16,2;1003;1,42;0;12,2;28,1;10166;6781;6;
2020-11-08 11:00:00;23,03;16,9;644;0,87;0;10,1;24,1;10228;6793;4;
2020-11-08 10:00:00;21,32;16,6;295;0,62;0;9,7;22,7;9892;6790;3;
2020-11-08 09:00:00;19,92;16,4;182;0,44;0;8,3;16,2;9792;6787;2;
2020-11-08 08:00:00;18,77;15,9;68;0,33;0;6,8;19,8;8895;6784;2;
2020-11-08 07:00:00;18,01;15,5;0;0,29;0;4,7;12,2;2454;6482;2;
2020-11-08 06:00:00;17,66;15,1;0;0,28;0;3,6;8,6;0;6457;2;
2020-11-08 05:00:00;17,54;14,8;0;0,3;0;4,3;13,3;0;6462;2;
2020-11-08 04:00:00;17,51;14,7;0;0,31;0;5;11,2;0;6468;2;
2020-11-08 03:00:00;17,89;14,8;0;0,34;0;4,3;11,2;0;6479;2;
2020-11-08 02:00:00;18,21;15,1;0;0,35;0;5,4;12,6;0;6491;2;
2020-11-08 01:00:00;18,86;15,1;0;0,44;0;5,8;13,7;0;6496;2;
2020-11-08 00:00:00;19,7;15,2;0;0,55;0;7,2;17,3;0;6496;3;6
2020-11-07 23:00:00;20,57;15,4;0;0,66;0;8,6;19,4;0;6508;3;
2020-11-07 22:00:00;21,64;15,7;0;0,78;0;9;24,5;0;6508;4;
2020-11-07 21:00:00;23,28;15,8;0;1,05;0;12,6;25,2;0;6522;5;
2020-11-07 20:00:00;25,8;16,1;39;1,47;;11,5;29,2;560;6619;6;
2020-11-07 19:00:00;27,86;15,9;164;1,92;0;9,4;23,4;9054;6778;8;
2020-11-07 18:00:00;28,82;15,3;316;2,21;;9,7;21,2;9916;6784;9;
2020-11-07 17:00:00;29,58;15,1;604;2,41;0;9;19,1;10017;6784;9;
2020-11-07 16:00:00;29,45;14,8;861;2,4;0;9;27,4;10065;6787;9;
2020-11-07 15:00:00;29,05;15,3;1028;2,26;;8,6;23;10041;6787;9;
2020-11-07 14:00:00;28,07;16;1090;1,96;;8,6;20,9;10089;6781;8;
2020-11-07 13:00:00;27,05;15,9;1066;1,75;0;8,6;21,6;10103;6784;7;
2020-11-07 12:00:00;25,22;15,8;963;1,4;0;10,4;24,8;10146;6787;6;
2020-11-07 11:00:00;23,06;15,7;807;1,01;0;10,8;24,1;10122;6793;5;
2020-11-07 10:00:00;21,2;16,1;348;0,67;0;9,7;23,4;10065;6793;3;
2020-11-07 09:00:00;19,48;16;228;0,42;0;10,1;24,8;9782;6781;2;
2020-11-07 08:00:00;18,2;16;64;0,26;0;9,7;21,6;8776;6778;1;
2020-11-07 07:00:00;17,89;16;1;0,21;0;8,6;19,1;3738;6488;1;
2020-11-07 06:00:00;17,6;15,9;0;0,18;0;8,3;18,4;0;6454;1;
2020-11-07 05:00:00;17,21;15,6;0;0,17;0;6,1;13,7;0;6465;1;
2020-11-07 04:00:00;17,34;15,5;0;0,2;0;6,1;13;0;6468;1;
2020-11-07 03:00:00;17,58;15,4;0;0,24;0;6,5;15,1;0;6471;1;
2020-11-07 02:00:00;17,69;15,2;0;0,27;0;7,2;15,8;0;6482;2;
2020-11-07 01:00:00;18,11;15,1;0;0,35;0;7,9;20,5;0;6494;2;
2020-11-07 00:00:00;18,54;14,8;0;0,43;0;7,6;18,7;0;6499;2;5,7
2020-11-06 23:00:00;19,31;14,7;0;0,55;0;7,6;19,1;0;6508;3;
2020-11-06 22:00:00;20,33;14,4;0;0,72;0;8,6;23,8;0;6511;4;
2020-11-06 21:00:00;21,7;14,3;0;0,95;0;10,4;28,1;0;6525;5;
2020-11-06 20:00:00;23,54;13,9;12;1,29;0;13;29,5;666;6628;6;
2020-11-06 19:00:00;25,21;13,3;218;1,67;0;13,7;39,6;9116;6778;7;
2020-11-06 18:00:00;26,13;13,3;469;1,84;0;13,7;29,2;10055;6793;8;
2020-11-06 17:00:00;26,67;12,5;731;2,03;0;14,4;32;10137;6793;9;
2020-11-06 16:00:00;26,52;12,3;921;2,02;0;15,1;35,6;10170;6790;9;
2020-11-06 15:00:00;26,14;11,2;1054;2,04;0;15,5;41,4;10185;6778;9;
2020-11-06 14:00:00;25,54;10,5;1113;1,98;0;15,8;41,4;10209;6798;9;
2020-11-06 13:00:00;24,76;12;1080;1,71;0;12,2;30,6;10156;6790;8;
2020-11-06 12:00:00;22,93;11,6;989;1,41;0;14;28,4;10185;6787;7;
2020-11-06 11:00:00;21,19;13,7;732;0,93;0;11,2;32,8;10170;6793;5;
2020-11-06 10:00:00;19,25;13,9;340;0,63;0;8,3;17,6;9974;6793;3;
2020-11-06 09:00:00;17,29;13,3;327;0,43;0;7,2;14,8;9590;6784;2;
2020-11-06 08:00:00;14,37;12,5;43;0,17;0;4,7;10,1;8507;6776;1;
2020-11-06 07:00:00;12,8;11,6;0;0,09;0;2,5;7,6;6029;6536;1;
2020-11-06 06:00:00;12,85;11,6;0;0,1;0;2,2;6,1;0;6457;1;
2020-11-06 05:00:00;13,71;11,8;0;0,17;0;2,2;8,6;0;6459;1;
2020-11-06 04:00:00;14,22;12,2;0;0,18;0;2,9;10,8;0;6471;1;
2020-11-06 03:00:00;14,5;12,4;0;0,19;0;3,2;9,4;0;6479;1;
2020-11-06 02:00:00;15,08;12,8;0;0,21;0;4,7;13,3;0;6485;1;
2020-11-06 01:00:00;15,81;13,2;0;0,26;0;5,4;21,2;0;6491;2;
2020-11-06 00:00:00;16,59;13,7;0;0,31;0;6,8;17,6;0;6508;2;4
2020-11-05 23:00:00;17,47;14;0;0,37;0;6,1;14,4;0;6511;2;
2020-11-05 22:00:00;18,21;13,7;0;0,51;0;5,8;12,2;0;6516;3;
2020-11-05 21:00:00;19,48;11,9;0;0,86;0;6,1;16,2;0;6525;4;
2020-11-05 20:00:00;20,68;12,4;18;0,98;0;9;19,4;555;6653;5;
2020-11-05 19:00:00;22,44;11,9;132;1,3;0;11,2;29,2;7740;6764;6;
2020-11-05 18:00:00;23,45;11;211;1,55;0;10,1;24,1;9739;6787;7;
2020-11-05 17:00:00;24,31;10,9;490;1,72;0;11,2;25,6;9926;6787;8;
2020-11-05 16:00:00;23,62;12,4;551;1,47;0;7,6;23,8;9998;6787;7;
2020-11-05 15:00:00;22,81;12,6;660;1,3;0;6,5;13,7;9897;6790;6;
2020-11-05 14:00:00;21,89;12,4;634;1,17;0;10,1;22,7;10012;6790;6;
2020-11-05 13:00:00;21,13;12,5;791;1,04;0;9,7;24,1;10228;6790;5;
2020-11-05 12:00:00;19,73;11,8;475;0,9;;9,4;22,3;9974;6790;5;
2020-11-05 11:00:00;20,05;11,6;848;0,97;;10,1;20,5;10281;6796;5;
2020-11-05 10:00:00;18,31;11,5;350;0,73;0;7,9;16,9;10017;6796;4;
2020-11-05 09:00:00;16,1;10,6;327;0,53;0;6,1;15,1;9672;6793;3;
2020-11-05 08:00:00;11,61;10,3;48;0,1;0;0,4;7,6;8502;6776;1;
2020-11-05 07:00:00;9,31;8,5;0;0,05;0;0;2,2;5890;6531;0;
2020-11-05 06:00:00;9,23;8,2;0;0,07;0;0;2,5;0;6457;0;
2020-11-05 05:00:00;10,22;8,7;0;0,1;0;0,7;3,6;0;6457;1;
2020-11-05 04:00:00;10,64;8,7;0;0,14;0;0;2,5;0;6465;1;
2020-11-05 03:00:00;11,44;8,8;0;0,21;0;0,4;2,5;0;6468;1;
2020-11-05 02:00:00;13,1;8,5;0;0,38;0;2,5;7,2;0;6482;3;
2020-11-05 01:00:00;13,79;8,2;0;0,47;;3,6;8,6;0;6496;3;
2020-11-05 00:00:00;14,35;7,7;0;0,57;0;4;9,7;0;6496;4;5,3
2020-11-04 23:00:00;15,53;7,3;0;0,73;0;6,5;15,8;0;6511;4;
2020-11-04 22:00:00;16,77;6,3;0;0,94;0;10,1;25,6;0;6519;5;
2020-11-04 21:00:00;18,2;4,8;0;1,21;0;10,4;24,5;0;6519;7;
2020-11-04 20:00:00;19,91;3,6;11;1,52;0;11,5;26,3;608;6642;8;
2020-11-04 19:00:00;21,66;4,8;216;1,72;0;11,9;26,3;9504;6787;9;
2020-11-04 18:00:00;23,04;5,1;415;1,92;0;9,7;24,1;10084;6790;10;
2020-11-04 17:00:00;23,56;4,2;713;2,06;0;9,7;21,6;10132;6790;10;
2020-11-04 16:00:00;23,53;5,2;850;2;0;11,5;26,3;10031;6787;10;
2020-11-04 15:00:00;23,21;5,7;1029;1,91;0;10,8;24,8;10214;6790;9;
2020-11-04 14:00:00;22,5;6,7;1119;1,73;0;10,8;37,4;10300;6796;9;
2020-11-04 13:00:00;21,94;6,2;1129;1,67;0;11,9;34,2;10204;6793;8;
2020-11-04 12:00:00;21,05;7;890;1,47;0;10,4;22,7;10204;6793;8;
2020-11-04 11:00:00;19,97;8,5;729;1,21;0;10,8;25,6;9959;6790;6;
2020-11-04 10:00:00;18,13;9,9;319;0,84;0;10,4;27,4;10137;6798;5;
2020-11-04 09:00:00;16,12;11,4;257;0,47;0;6,8;17,3;9542;6787;3;
2020-11-04 08:00:00;13,88;11;67;0,26;0;2,5;12,6;8507;6778;2;
2020-11-04 07:00:00;12,04;10,3;0;0,14;0;1,8;7,6;5535;6534;1;
2020-11-04 06:00:00;12,54;10,5;0;0,17;0;3,2;10,4;0;6474;1;
2020-11-04 05:00:00;13,03;10,7;0;0,19;0;3,2;6,5;0;6471;1;
2020-11-04 04:00:00;13,66;11,2;0;0,21;0;3,6;7,9;0;6474;1;
2020-11-04 03:00:00;14,28;11,5;0;0,25;0;4,7;10,4;0;6479;2;
2020-11-04 02:00:00;14,67;11,7;0;0,28;0;4;10,4;0;6491;2;
2020-11-04 01:00:00;15,46;11,8;0;0,36;0;5;11,2;0;6499;2;
2020-11-04 00:00:00;16,13;11,3;0;0,47;0;6,8;16,2;0;6508;3;4,5
2020-11-03 23:00:00;16,83;11,1;0;0,57;0;9,4;24,5;0;6516;3;
2020-11-03 22:00:00;17,36;11,6;0;0,6;0;9,4;20,2;0;6522;3;
2020-11-03 21:00:00;18,76;11;0;0,84;;11,2;29,5;0;6531;4;
2020-11-03 20:00:00;20,72;10,5;11;1,16;;11,9;32;0;6639;6;
2020-11-03 19:00:00;22,15;10,5;163;1,38;0;11,9;27;9413;6784;7;
2020-11-03 18:00:00;23,11;10,2;174;1,57;0;11,5;27,4;9015;6778;7;
2020-11-03 17:00:00;24,11;10,2;349;1,74;0;10,4;21,6;9519;6798;8;
2020-11-03 16:00:00;24,16;11,3;439;1,66;0;9,4;29,9;9624;6798;8;
2020-11-03 15:00:00;25,05;11,2;908;1,83;;9;20,2;9773;6798;8;
2020-11-03 14:00:00;24,56;12,1;1090;1,66;;9,4;19,8;10098;6787;7;
2020-11-03 13:00:00;23,25;12,5;795;1,39;0;8,6;20,5;10161;6784;6;
2020-11-03 12:00:00;22,1;12,6;963;1,18;0;9,7;22,3;9389;6796;6;
2020-11-03 11:00:00;20,12;13,2;486;0,82;0;8,6;20,5;10190;6796;4;
2020-11-03 10:00:00;19,05;13,8;354;0,61;0;8,6;24,5;9801;6787;3;
2020-11-03 09:00:00;16,4;13,4;250;0,31;0;4;13;9931;6798;2;
2020-11-03 08:00:00;13,62;12,2;49;0,12;0;2,9;7,6;9068;6784;1;
2020-11-03 07:00:00;12,62;11,5;0;0,09;0;1,1;4;5780;6542;0;
2020-11-03 06:00:00;13,23;11,7;0;0,13;0;1,4;4,3;0;6482;1;
2020-11-03 05:00:00;13,52;11,5;0;0,18;0;2,2;9;0;6482;1;
2020-11-03 04:00:00;13,92;11,2;0;0,24;0;2,9;8,6;0;6488;2;
2020-11-03 03:00:00;14,42;10,6;0;0,34;0;3,6;8,6;0;6491;2;
2020-11-03 02:00:00;14,98;10,6;0;0,41;0;3,6;7,6;0;6502;2;
2020-11-03 01:00:00;15,89;10,1;0;0,55;0;4,7;12,6;0;6502;3;
2020-11-03 00:00:00;16,69;8,8;0;0,75;0;5,4;15,5;0;6511;4;5,2
2020-11-02 23:00:00;17,88;7,2;0;1,01;0;7,2;19,1;0;6516;6;
2020-11-02 22:00:00;19,16;6,7;0;1,22;;9,4;21,2;0;6516;7;
2020-11-02 21:00:00;21,07;9,2;0;1,31;;10,4;24,8;0;6519;7;
2020-11-02 20:00:00;22,81;10,2;16;1,52;0;6,5;18,4;0;6630;7;
2020-11-02 19:00:00;24,25;9,5;210;1,82;0;8,3;16,9;5943;6736;8;
2020-11-02 18:00:00;24,86;9,3;486;1,95;0;8,3;20,9;10065;6796;9;
2020-11-02 17:00:00;25,2;9,7;719;1,98;0;8,3;22;10118;6787;9;
2020-11-02 16:00:00;25,17;10,2;921;1,94;0;9;23;10146;6790;9;
2020-11-02 15:00:00;24,65;9,8;1049;1,87;0;7,6;18,7;10108;6784;9;
2020-11-02 14:00:00;24,24;10,3;1102;1,75;;7,2;19,8;10132;6784;8;
2020-11-02 13:00:00;22,92;10,9;985;1,48;;7,9;17,6;9044;6796;7;
2020-11-02 12:00:00;21,69;11,7;986;1,2;0;7,6;18,4;10137;6790;6;
2020-11-02 11:00:00;19,99;12,1;780;0,91;0;8,3;17,6;10161;6804;5;
2020-11-02 10:00:00;17,95;12;327;0,64;0;7,9;16,2;10098;6798;3;
2020-11-02 09:00:00;15,88;11,5;325;0,42;0;4,7;11,5;9298;6790;3;
2020-11-02 08:00:00;13,04;10,9;62;0,18;;1,4;5,4;8430;6776;1;
2020-11-02 07:00:00;11,19;10;0;0,09;;0;2,5;5631;6565;1;
2020-11-02 06:00:00;11,58;9,9;0;0,13;;0,7;4;0;6494;1;
2020-11-02 05:00:00;12,24;10,2;0;0,17;0;1,4;6,8;0;6499;1;
2020-11-02 04:00:00;12,62;10,3;0;0,19;;0,4;5;0;6502;1;
2020-11-02 03:00:00;13,73;10,5;0;0,29;;2,9;9,7;0;6508;2;
2020-11-02 02:00:00;14,46;10,7;0;0,35;0;4;10,4;0;6508;2;
2020-11-02 01:00:00;15,25;10,7;0;0,43;0;4,7;11,9;0;6508;3;
2020-11-02 00:00:00;16,16;10,7;0;0,54;0;6,5;15,8;0;6508;3;4,4
2020-11-01 23:00:00;17,23;10,7;0;0,66;0;8,6;18,4;0;6519;4;
2020-11-01 22:00:00;18,62;11,1;0;0,81;0;9;22,7;0;6528;4;
2020-11-01 21:00:00;20,23;11,2;0;1,03;0;10,8;23;0;6536;5;
2020-11-01 20:00:00;21,82;11,5;10;1,24;0;9,4;24,1;0;6633;6;
2020-11-01 19:00:00;23,3;11;178;1,53;0;8,3;20,9;6969;6753;7;
2020-11-01 18:00:00;23,82;10,5;287;1,67;0;7,9;22,7;10060;6793;8;
2020-11-01 17:00:00;24,49;10,4;565;1,8;0;6,8;19,4;10166;6798;8;
2020-11-01 16:00:00;24,76;11,1;737;1,79;0;7,2;19,8;9888;6798;8;
2020-11-01 15:00:00;24,52;10,9;1055;1,75;0;7,6;18,4;10137;6784;8;
2020-11-01 14:00:00;23,34;11,7;1169;1,47;;8,3;20,9;10180;6796;7;
2020-11-01 13:00:00;21,93;12;832;1,22;0;8,3;20,2;9485;6787;6;
2020-11-01 12:00:00;20,2;12,5;548;0,91;;7,6;20,2;9950;6787;5;
2020-11-01 11:00:00;18,97;13,1;396;0,67;;7,2;18,7;9959;6793;4;
2020-11-01 10:00:00;17,86;13,2;351;0,52;;6,8;15,5;9921;6790;3;
2020-11-01 09:00:00;15,83;12,9;310;0,3;;2,9;11,2;9787;6787;2;
2020-11-01 08:00:00;13,21;12,1;68;0,09;0;0,4;4,7;9217;6781;0;
2020-11-01 07:00:00;11,97;11,1;1;0,06;;0;2,2;5895;6525;0;
2020-11-01 06:00:00;12,06;10,8;0;0,1;;0;2,2;0;6471;1;
2020-11-01 05:00:00;12,63;11,1;0;0,12;;0,4;4,7;0;6471;1;
2020-11-01 04:00:00;13,35;11,1;0;0,2;;1,4;6,5;0;6474;1;
2020-11-01 03:00:00;13,99;11,1;0;0,26;;3,2;8,6;0;6477;2;
2020-11-01 02:00:00;14,22;11,3;0;0,26;;3,6;9,4;0;6477;2;
2020-11-01 01:00:00;15,13;12;0;0,3;;4;10,1;0;6471;2;
2020-11-01 00:00:00;15,88;12;0;0,38;0;5,4;15,1;0;6479;2;4,8
2020-10-31 23:00:00;16,77;11,7;0;0,52;0;7,2;18;0;6494;3;
2020-10-31 22:00:00;17,78;11,4;0;0,67;0;10,1;25,9;0;6511;4;
2020-10-31 21:00:00;18,99;11,2;0;0,85;;10,4;20,2;0;6525;4;
2020-10-31 20:00:00;20,45;10,5;13;1,12;0;11,2;34,2;0;6636;6;
2020-10-31 19:00:00;21,91;10,3;186;1,35;0;11,9;26,6;9164;6784;7;
2020-10-31 18:00:00;22,94;10,6;395;1,51;0;11,5;22,3;10084;6796;7;
2020-10-31 17:00:00;23,13;11,2;603;1,48;0;12,2;24,5;10084;6793;7;
2020-10-31 16:00:00;23,54;11,5;681;1,53;0;11,2;25,2;9945;6787;7;
2020-10-31 15:00:00;23,67;11,6;1052;1,54;;10,1;27,7;10142;6787;7;
2020-10-31 14:00:00;22,64;11,7;840;1,36;;11,2;28,8;10166;6796;6;
2020-10-31 13:00:00;22,09;11,9;750;1,25;0;10,1;21,2;9969;6787;6;
2020-10-31 12:00:00;21,29;12,5;859;1,06;;10,8;26,6;10046;6787;5;
2020-10-31 11:00:00;20;12,6;600;0,86;;11,5;22,3;10175;6790;4;
2020-10-31 10:00:00;18,16;12,6;344;0,6;;8,6;19,8;10108;6798;3;
2020-10-31 09:00:00;16,32;12,5;230;0,39;;7,2;18;9883;6793;2;
2020-10-31 08:00:00;14,65;12;52;0,24;0;4,3;14,4;8699;6787;1;
2020-10-31 07:00:00;14,39;11,8;0;0,24;0;5;11,5;2257;6479;1;
2020-10-31 06:00:00;14,71;11,8;0;0,27;0;7,2;20,9;0;6465;2;
2020-10-31 05:00:00;14,86;12,2;0;0,25;0;6,8;14,4;0;6471;2;
2020-10-31 04:00:00;14,79;12,3;0;0,24;0;6,8;13,3;0;6471;1;
2020-10-31 03:00:00;14,95;11,9;0;0,29;0;7,2;13;0;6482;2;
2020-10-31 02:00:00;15,63;11,7;0;0,39;0;6,5;15,1;0;6491;2;
2020-10-31 01:00:00;16,13;11,7;0;0,44;0;7,6;16,6;0;6494;3;
2020-10-31 00:00:00;16,24;12;0;0,43;0;6,8;14,8;0;6505;2;5,3
2020-10-30 23:00:00;16,8;11,7;0;0,52;0;7,2;18,4;0;6516;3;
2020-10-30 22:00:00;17,68;11;0;0,69;0;7,2;21,6;0;6525;4;
2020-10-30 21:00:00;18,41;10,4;0;0,84;0;6,8;18;0;6539;5;
2020-10-30 20:00:00;19,81;9,6;17;1,1;0;9,4;23,8;0;6616;6;
2020-10-30 19:00:00;21,45;8,6;193;1,42;0;11,9;32;9102;6778;7;
2020-10-30 18:00:00;22,78;8,2;479;1,66;0;11,5;25,9;10007;6796;8;
2020-10-30 17:00:00;23,06;7,5;740;1,76;0;11,5;29,9;10146;6793;9;
2020-10-30 16:00:00;22,72;6,5;916;1,78;0;12,2;29,5;10175;6787;9;
2020-10-30 15:00:00;22,36;6,4;1053;1,72;0;11,2;27;10190;6790;9;
2020-10-30 14:00:00;21,27;5,9;1113;1,58;0;11,5;27;10199;6793;8;
2020-10-30 13:00:00;20,29;6,6;1089;1,39;0;10,8;24,8;10214;6798;7;
2020-10-30 12:00:00;19,02;8;984;1,11;0;9,4;24,5;10218;6798;6;
2020-10-30 11:00:00;17,35;8,8;792;0,83;0;8,3;18,7;10185;6793;5;
2020-10-30 10:00:00;15,13;8,9;314;0,56;0;6,8;20,2;10146;6804;3;
2020-10-30 09:00:00;13,5;8,6;319;0,41;;7,2;18;9921;6798;3;
2020-10-30 08:00:00;11,95;8,7;80;0,26;;3,6;11,5;8670;6784;2;
2020-10-30 07:00:00;10,5;8;0;0,18;;1,8;9,7;4788;6514;1;
2020-10-30 06:00:00;11,18;8,3;0;0,22;;3,2;8,3;0;6468;2;
2020-10-30 05:00:00;12,55;8,2;0;0,35;0;6,8;19,4;0;6468;2;
2020-10-30 04:00:00;13,55;8,5;0;0,43;0;7,9;22,3;0;6477;3;
2020-10-30 03:00:00;14,33;8,7;0;0,49;0;7,6;17,3;0;6485;3;
2020-10-30 02:00:00;15,22;8,7;0;0,59;;8,6;19,1;0;6491;4;
2020-10-30 01:00:00;15,97;10,7;0;0,51;;10,4;30,6;0;6496;3;
2020-10-30 00:00:00;16,2;11,2;0;0,49;;9,7;21,2;0;6508;3;3,6
2020-10-29 23:00:00;16,44;11,8;0;0,47;;5;20,5;0;6516;3;
2020-10-29 22:00:00;17,38;11,4;0;0,62;0;3,6;7,6;0;6522;3;
2020-10-29 21:00:00;18,71;11,5;0;0,78;0;5,4;12,2;0;6531;4;
2020-10-29 20:00:00;20,06;11,1;29;1,01;0;6,5;17,3;0;6625;5;
2020-10-29 19:00:00;21,09;11,3;132;1,14;0;7,6;19,4;8258;6770;6;
2020-10-29 18:00:00;22,19;11,5;380;1,3;0;6,8;15,1;9907;6790;6;
2020-10-29 17:00:00;23,09;11,5;693;1,45;0;7,2;22;10055;6793;7;
2020-10-29 16:00:00;23,04;10,2;590;1,55;0;2,9;10,4;10065;6793;7;
2020-10-29 15:00:00;22,43;9,8;647;1,48;0;3,6;12,2;9878;6781;7;
2020-10-29 14:00:00;22,3;9,9;884;1,46;0;4;12,6;10070;6793;7;
2020-10-29 13:00:00;20,47;9,9;627;1,17;0;2,5;7,6;9955;6790;6;
2020-10-29 12:00:00;18,21;9,4;401;0,9;;4;11,2;10070;6793;5;
2020-10-29 11:00:00;16,91;9,5;222;0,72;0;4,7;13,7;9916;6793;4;
2020-10-29 10:00:00;16,84;10,1;177;0,67;0;3,6;11,5;9672;6796;4;
2020-10-29 09:00:00;16,13;10,2;82;0,57;0;3,6;13,3;9130;6787;3;
2020-10-29 08:00:00;16,16;10,9;62;0,51;;5,4;16,9;8335;6784;3;
2020-10-29 07:00:00;17,39;14,8;0;0,28;;6,5;18,7;2415;6488;2;
2020-10-29 06:00:00;18,6;16,5;0;0,25;0;5,8;20,2;0;6479;1;
2020-10-29 05:00:00;19,03;17,4;0;0,19;0;3,2;10,1;0;6474;1;
2020-10-29 04:00:00;19,53;17,3;0;0,28;0;3,2;15,1;0;6496;1;
2020-10-29 03:00:00;20,23;17,4;0;0,36;0;2,5;9;0;6496;2;
2020-10-29 02:00:00;20,21;17,1;0;0,39;0;1,1;6,8;0;6502;2;
2020-10-29 01:00:00;19,85;16,6;0;0,4;0;0;4;0;6505;2;
2020-10-29 00:00:00;19,31;17;0;0,28;0;0,4;7,9;0;6514;1;5,1
2020-10-28 23:00:00;19,77;17;0;0,34;0;0;0;0;6516;2;
2020-10-28 22:00:00;20,28;18,2;0;0,27;0;0;2,2;0;6516;1;
2020-10-28 21:00:00;21,66;18,4;0;0,45;0;0;3,2;0;6531;2;
2020-10-28 20:00:00;25,31;16,9;6;1,29;;0,4;5,4;0;6582;5;
2020-10-28 19:00:00;27,91;15,6;206;1,96;0;1,8;10,1;9288;6773;8;
2020-10-28 18:00:00;28,71;15,5;482;2,17;;1,8;9;9878;6778;8;
2020-10-28 17:00:00;28,19;16,3;711;1,96;;4,3;15,5;9921;6784;8;
2020-10-28 16:00:00;27,64;16,3;900;1,83;0;6,5;16,2;10079;6787;7;
2020-10-28 15:00:00;26,82;16,8;1038;1,6;;7,2;19,4;10098;6787;6;
2020-10-28 14:00:00;25,91;17,1;1069;1,38;;9;28,1;10137;6790;6;
2020-10-28 13:00:00;24,16;16,9;772;1,07;;9;22,7;10194;6784;5;
2020-10-28 12:00:00;22,76;16,8;590;0,84;0;8,3;18,4;10041;6793;4;
2020-10-28 11:00:00;21,75;16,5;626;0,71;0;8,3;23;9739;6790;3;
2020-10-28 10:00:00;19,69;14,9;264;0,58;0;7,6;16,2;10098;6798;3;
2020-10-28 09:00:00;18,06;13,6;305;0,5;0;7,2;16,2;9605;6790;3;
2020-10-28 08:00:00;16,44;12,9;69;0,37;0;8,3;18,4;6997;6750;2;
2020-10-28 07:00:00;16,27;12,9;0;0,34;0;7,2;15,5;2895;6496;2;
2020-10-28 06:00:00;16,7;12,8;0;0,4;0;5,8;15,8;0;6482;2;
2020-10-28 05:00:00;17,21;12,8;0;0,46;0;6,5;15,8;0;6485;3;
2020-10-28 04:00:00;17,4;12,7;0;0,5;0;7,2;16,6;0;6488;3;
2020-10-28 03:00:00;17,57;12,4;0;0,55;0;5,4;13;0;6494;3;
2020-10-28 02:00:00;17,67;12;0;0,6;0;6,8;12,6;0;6508;3;
2020-10-28 01:00:00;17,32;11,8;0;0,58;0;5,4;10,8;0;6505;3;
2020-10-28 00:00:00;16,71;11,1;0;0,56;0;4,7;11,9;0;6519;3;2,2
2020-10-27 23:00:00;17,39;10,9;0;0,67;0;5,8;16,6;0;6528;4;
2020-10-27 22:00:00;17,86;10,9;0;0,73;0;6,1;12,6;0;6539;4;
2020-10-27 21:00:00;18,26;11,4;0;0,73;0;3,6;10,1;0;6568;4;
2020-10-27 20:00:00;19,43;12,3;15;0,81;0;5,8;16,9;742;6696;4;
2020-10-27 19:00:00;20,03;13,6;107;0,77;0;7,9;20,5;8042;6778;4;
2020-10-27 18:00:00;20,02;14,5;232;0,67;0;9,4;23,8;9557;6793;3;
