LAT;-29,18597;;;;;;;;;
LONG;-51,58266;;;;;;;;;
;HC Air temperature [°C];Dew Point [°C];Solar radiation [W/m2];HC Relative humidity [%];Precipitation [mm];Leaf Wetness [min];Wind speed [m/s];;Battery [mV];
Date/Time;avg;avg;avg;avg;sum;time;avg;max;last;Daily ET0 [mm]
2020-11-04 13:00:00;18,68;5,2;983;41,87;0;0;0,8;1,2;6904;
2020-11-04 12:00:00;18,04;6,4;862;47,54;0;0;0,8;1,3;6904;
2020-11-04 11:00:00;16,68;7,5;790;55,51;0;0;0,6;1,1;6914;
2020-11-04 10:00:00;15,23;8,2;567;64,03;0;0;0,5;0,9;6914;
2020-11-04 09:00:00;13,66;9,2;321;75,38;0;0;0,4;1,1;6914;
2020-11-04 08:00:00;12,22;9,7;77;85,87;0;0;0,2;0,5;6806;
2020-11-04 07:00:00;11,49;10,1;0;92,08;0;0;0;0,5;6532;
2020-11-04 06:00:00;11,13;10,6;0;97,54;0;0;0;0,3;6532;
2020-11-04 05:00:00;11,21;11;0;99,81;0;0;0;0;6542;
2020-11-04 04:00:00;10,61;10,5;0;99,96;0;0;0;0,2;6532;
2020-11-04 03:00:00;10,36;10;0;98,52;0;0;0;0;6532;
2020-11-04 02:00:00;11,39;10,9;0;97,78;0;0;0;0,2;6542;
2020-11-04 01:00:00;11,09;10,9;0;99,36;0;0;0;0;6552;
2020-11-04 00:00:00;11,62;10,4;0;93,53;0;0;0;0,3;6542;4,3
2020-11-03 23:00:00;12,65;10,6;0;88,3;0;0;0,2;0,9;6582;
2020-11-03 22:00:00;13,38;10,9;0;86,12;0;0;0,6;1,3;6610;
2020-11-03 21:00:00;13,63;10,3;0;81,12;0;0;0,6;1,1;6678;
2020-11-03 20:00:00;15,2;10,4;15;74,3;0;0;0,8;1,3;6786;
2020-11-03 19:00:00;17,74;10,6;206;63,91;0;0;1;1,5;6874;
2020-11-03 18:00:00;19,93;11;432;57,18;0;0;0,9;1,4;6894;
2020-11-03 17:00:00;21,51;10,8;647;51,17;0;0;0,9;1,4;6904;
2020-11-03 16:00:00;22,93;8,1;770;39,47;0;0;0,4;0,9;6904;
2020-11-03 15:00:00;22,73;9,2;987;43,2;0;0;0,7;1,3;6904;
2020-11-03 14:00:00;21,99;10,7;887;49,28;0;0;0,6;1,2;6904;
2020-11-03 13:00:00;22,08;10,7;921;49,06;0;0;0,6;1,4;6894;
2020-11-03 12:00:00;20,83;10,7;877;53,31;0;0;0,5;1,2;6904;
2020-11-03 11:00:00;20,28;11;878;56,22;0;0;0,3;0,8;6904;
2020-11-03 10:00:00;18,44;10,8;538;61,89;0;0;0,2;0,5;6904;
2020-11-03 09:00:00;15,79;10,4;378;71,36;0;0;0,1;0,6;6914;
2020-11-03 08:00:00;11,99;10,2;102;90,42;0;0;0,2;0,5;6738;
2020-11-03 07:00:00;9,48;9,4;0;99,93;0;0;0;0,2;6552;
2020-11-03 06:00:00;9,74;9,2;0;97,34;0;0;0;0;6532;
2020-11-03 05:00:00;10,39;9,2;0;93,39;0;0;0;0;6522;
2020-11-03 04:00:00;10,78;9,2;0;90,73;0;0;0;0,1;6552;
2020-11-03 03:00:00;11,19;9,1;0;87,82;0;0;0;0,2;6542;
2020-11-03 02:00:00;10,47;8,7;0;89,46;0;0;0;0;6562;
2020-11-03 01:00:00;10,86;8,5;0;86,34;0;0;0;0;6562;
2020-11-03 00:00:00;11,81;8,8;0;82,8;0;0;0;0,3;6542;3,7
2020-11-02 23:00:00;13,03;9;0;77,49;0;0;0,1;0,7;6552;
2020-11-02 22:00:00;14,33;9,8;0;75,02;0;0;0,3;0,8;6610;
2020-11-02 21:00:00;15,54;10,1;0;70,92;0;0;0,4;0,8;6678;
2020-11-02 20:00:00;17,51;8,3;11;55,46;0;0;0,4;0,7;6756;
2020-11-02 19:00:00;20,75;8,1;209;44,71;0;0;0,4;0,8;6834;
2020-11-02 18:00:00;22,46;8,3;470;41,33;0;0;0,4;0,8;6894;
2020-11-02 17:00:00;22,68;9,2;532;43,09;0;0;0,3;0,7;6904;
2020-11-02 16:00:00;22,06;9,9;430;46,69;0;0;0,2;0,6;6904;
2020-11-02 15:00:00;22,99;10,7;907;46,47;0;0;0,4;0,8;6904;
2020-11-02 14:00:00;21,42;10,5;695;50,61;0;0;0,5;0,9;6904;
2020-11-02 13:00:00;20,53;9,9;567;51,4;0;0;0,2;0,6;6904;
2020-11-02 12:00:00;20,48;10,1;864;52,21;0;0;0,4;0,9;6894;
2020-11-02 11:00:00;18,7;10,4;502;59,18;0;0;0,2;0,5;6894;
2020-11-02 10:00:00;17,56;10,5;614;64,05;0;0;0,2;0,8;6914;
2020-11-02 09:00:00;14,29;10,9;374;81,45;0;0;0;0;6914;
2020-11-02 08:00:00;11,94;10,7;97;93,19;0;0;0;0;6728;
2020-11-02 07:00:00;10,35;9,6;0;96,05;0;0;0;0;6562;
2020-11-02 06:00:00;10,1;9,6;0;97,93;0;0;0;0;6532;
2020-11-02 05:00:00;10,18;9,9;0;99,09;0;0;0;0;6522;
2020-11-02 04:00:00;10,53;9,8;0;96,52;0;0;0;0;6532;
2020-11-02 03:00:00;11,64;10;0;90,93;0;0;0;0,2;6562;
2020-11-02 02:00:00;12,37;10,4;0;88,91;0;0;0,4;0,8;6562;
2020-11-02 01:00:00;12,31;10,4;0;88,99;0;0;0,1;0,8;6562;
2020-11-02 00:00:00;11,97;10,2;0;89,68;0;0;0,1;0,3;6532;3,9
2020-11-01 23:00:00;12,42;10,2;0;87,19;0;0;0,1;0,5;6562;
2020-11-01 22:00:00;13,39;10,1;0;81,5;0;0;0,1;0,7;6620;
2020-11-01 21:00:00;14,57;10,6;0;78,06;0;0;0,4;0,9;6688;
2020-11-01 20:00:00;16,34;10,9;12;71,28;0;0;0,5;0,9;6776;
2020-11-01 19:00:00;19,61;10,7;210;57,09;0;0;0,5;0,9;6864;
2020-11-01 18:00:00;21,41;10,4;490;50,09;0;0;0,5;0,8;6894;
2020-11-01 17:00:00;22,02;9,8;555;46,4;0;0;0,5;1,4;6904;
2020-11-01 16:00:00;22,26;8,9;634;43,19;0;0;0,6;1,1;6904;
2020-11-01 15:00:00;23,2;9,1;948;41,22;0;0;0,6;1,1;6904;
2020-11-01 14:00:00;22,01;9,4;913;45,25;0;0;0,5;1;6904;
2020-11-01 13:00:00;20,49;9,8;802;51,42;0;0;0,8;1,6;6894;
2020-11-01 12:00:00;19,01;10,3;637;57,74;0;0;0,6;1,1;6904;
2020-11-01 11:00:00;18,5;10,3;656;59,71;0;0;0,5;1,2;6904;
2020-11-01 10:00:00;16,16;11,2;506;73,76;0;0;0,2;1;6914;
2020-11-01 09:00:00;13,69;11,7;315;89;0;0;0;0,1;6914;
2020-11-01 08:00:00;10,94;10,9;103;100;0;0;0;0,1;6748;
2020-11-01 07:00:00;9,18;9,1;0;100;0;0;0;0;6532;
2020-11-01 06:00:00;8,99;8,9;0;100;0;0;0;0;6512;
2020-11-01 05:00:00;9,66;9,6;0;100;0,2;0;0;0;6542;
2020-11-01 04:00:00;10,14;10,1;0;100;0;0;0;0;6552;
2020-11-01 03:00:00;10,3;10,2;0;100;0;0;0;0,1;6552;
2020-11-01 02:00:00;10,87;10,8;0;100;0;0;0;0,1;6562;
2020-11-01 01:00:00;11,14;11,1;0;100;0;0;0;0;6552;
2020-11-01 00:00:00;12,01;11,5;0;97,98;0;0;0;0;6532;3,2
2020-10-31 23:00:00;12,73;10,9;0;89,8;0;0;0;0,2;6572;
2020-10-31 22:00:00;13,43;9,3;0;76,63;0;0;0;0,3;6620;
2020-10-31 21:00:00;14,41;8,5;0;68,61;0;0;0,2;0,7;6668;
2020-10-31 20:00:00;15,88;8,7;12;63,52;0;0;0,5;0,9;6776;
2020-10-31 19:00:00;18,41;8,8;180;54,22;0;0;0,7;1,1;6864;
2020-10-31 18:00:00;20,2;9,3;453;50,33;0;0;0,9;1,4;6894;
2020-10-31 17:00:00;21,26;10,4;682;50,77;0;0;0,9;1,4;6904;
2020-10-31 16:00:00;20,68;11,2;752;55,22;0;0;0,5;0,9;6904;
2020-10-31 15:00:00;19,12;10,8;250;59,47;0;0;0,2;0,6;6904;
2020-10-31 14:00:00;20,49;10,9;427;54,86;0;0;0,4;1,5;6894;
2020-10-31 13:00:00;20,63;11,3;777;55,92;0;0;0,5;1,2;6904;
2020-10-31 12:00:00;19,85;11;613;57,32;0;0;0,3;0,9;6904;
2020-10-31 11:00:00;18,33;10,2;491;59,8;0;0;0,3;0,8;6904;
2020-10-31 10:00:00;16,65;9,5;434;63,76;0;0;0,2;0,7;6904;
2020-10-31 09:00:00;14,91;9,5;228;70,67;0;0;0,1;0,5;6904;
2020-10-31 08:00:00;12,9;9,3;73;79,76;0;0;0,1;0,2;6796;
2020-10-31 07:00:00;12,01;9,4;0;84,74;0;0;0,1;0,7;6552;
2020-10-31 06:00:00;11,74;9,5;0;87,11;0;0;0;0,2;6522;
2020-10-31 05:00:00;11,64;9,5;0;87,54;0;0;0;0,1;6542;
2020-10-31 04:00:00;11,85;9,3;0;85,14;0;0;0,1;0,6;6532;
2020-10-31 03:00:00;11,59;9;0;85,11;0;0;0;0;6542;
2020-10-31 02:00:00;11,22;8,8;0;86,03;0;0;0;0;6552;
2020-10-31 01:00:00;11,46;8,4;0;82,54;0;0;0;0;6552;
2020-10-31 00:00:00;11,74;8,4;0;81,07;0;0;0;0,5;6532;4,6
2020-10-30 23:00:00;12,72;8,6;0;76,77;0;0;0,2;0,8;6582;
2020-10-30 22:00:00;13,24;8,8;0;75,33;0;0;0,2;0,6;6610;
2020-10-30 21:00:00;14,01;9;0;72,68;0;0;0,5;1,1;6678;
2020-10-30 20:00:00;15,32;9,3;15;68,27;0;0;0,7;1,3;6786;
2020-10-30 19:00:00;17,87;9,1;189;57,3;0;0;0,6;1;6874;
2020-10-30 18:00:00;19,28;8,6;451;50,66;0;0;0,9;1,9;6894;
2020-10-30 17:00:00;20,21;8,3;701;47,03;0;0;0,9;1,4;6904;
2020-10-30 16:00:00;20,76;8,3;910;45,53;0;0;0,9;1,5;6904;
2020-10-30 15:00:00;20,59;8,7;1058;47,04;0;0;0,8;1,4;6904;
2020-10-30 14:00:00;19,76;8,4;1129;48,54;0;0;1;1,7;6904;
2020-10-30 13:00:00;18,69;7,7;1118;49,84;0;0;0,9;1,4;6904;
2020-10-30 12:00:00;18,25;6,6;1020;47,31;0;0;0,9;1,3;6904;
2020-10-30 11:00:00;16,52;6,2;845;51,33;0;0;0,8;1,4;6914;
2020-10-30 10:00:00;14,43;6,2;555;58,82;0;0;0,7;1,2;6914;
2020-10-30 09:00:00;12,56;7,2;366;70,6;0;0;0,5;0,9;6914;
2020-10-30 08:00:00;10,84;7,7;93;82,19;0;0;0,3;0,8;6806;
2020-10-30 07:00:00;10,21;7,9;0;86,75;0;0;0,4;1,1;6532;
2020-10-30 06:00:00;10,2;8,3;0;88,79;0;0;0,2;0,8;6532;
2020-10-30 05:00:00;9,83;8,7;0;93,93;0;0;0;0,2;6522;
2020-10-30 04:00:00;10,84;8,7;0;87,5;0;0;0,3;0,8;6552;
2020-10-30 03:00:00;11,41;8,4;0;82,36;0;0;0,3;0,8;6552;
2020-10-30 02:00:00;11,08;7,1;0;77,72;0;0;0,2;0,6;6542;
2020-10-30 01:00:00;11,03;6,6;0;75,44;0;0;0,1;0,3;6552;
2020-10-30 00:00:00;11,14;6,1;0;71,81;0;0;0;0,2;6552;1,6
2020-10-29 23:00:00;12,66;6,9;0;68,58;0;0;0;0,4;6552;
2020-10-29 22:00:00;13,18;9,1;0;77,42;0;0;0,5;0,8;6620;
2020-10-29 21:00:00;13,37;10,1;0;81,78;0;0;0,6;1,1;6678;
2020-10-29 20:00:00;14,05;10,5;0;80,17;0;0;0,1;0,5;6756;
2020-10-29 19:00:00;14,87;10,3;77;75,2;0;0;0,3;0,7;6894;
2020-10-29 18:00:00;15,8;10,2;138;70,19;0;0;0,2;0,6;6904;
2020-10-29 17:00:00;16,43;11,1;177;71,94;0,2;0;0;0,4;6894;
2020-10-29 16:00:00;16,13;12,3;190;78,9;0;0;0;0;6884;
2020-10-29 15:00:00;16,33;12,9;238;81,11;0;0;0;0;6894;
2020-10-29 14:00:00;16,6;14;193;85,41;0;0;0;0;6904;
2020-10-29 13:00:00;17,96;14,7;280;82,06;0;0;0;0;6904;
2020-10-29 12:00:00;17,33;16,2;501;94,11;0;0;0;0;6914;
2020-10-29 11:00:00;16,59;16,5;120;100;0;0;0;0;6904;
2020-10-29 10:00:00;17,35;17,3;104;100;0,2;0;0;0;6904;
2020-10-29 09:00:00;16,98;16,9;119;100;0;0;0;0;6864;
2020-10-29 08:00:00;14,74;14,7;66;100;0;0;0;0;6786;
2020-10-29 07:00:00;14;13,9;0;100;0;0;0;0;6562;
2020-10-29 06:00:00;14,3;14,2;0;100;0;0;0;0;6542;
2020-10-29 05:00:00;14,63;14,5;0;100;0,2;0;0;0;6542;
2020-10-29 04:00:00;14,95;14,9;0;100;0;0;0;0;6542;
2020-10-29 03:00:00;15,12;15;0;100;0;0;0;0;6562;
2020-10-29 02:00:00;15,66;15,6;0;100;0;0;0;0;6552;
2020-10-29 01:00:00;16,3;16,2;0;100;0;0;0;0;6562;
2020-10-29 00:00:00;16,92;16,7;0;99,25;0;0;0;0;6552;5
2020-10-28 23:00:00;17,28;16,5;0;96,47;0;0;0;0;6552;
2020-10-28 22:00:00;18,42;16,6;0;90,25;0;0;0;0;6572;
2020-10-28 21:00:00;19,45;16,4;0;83,3;0;0;0;0;6620;
2020-10-28 20:00:00;21,49;15,8;8;71,37;0;0;0;0;6698;
2020-10-28 19:00:00;24,66;14,9;103;55,58;0;0;0;0;6776;
2020-10-28 18:00:00;27,05;14,1;479;45,96;0;0;0;0;6884;
2020-10-28 17:00:00;28,26;13,9;732;42,31;0;0;0;0;6894;
2020-10-28 16:00:00;27,53;12,6;946;40,56;0;0;0;0;6904;
2020-10-28 15:00:00;27,35;12,9;1099;41,51;0;0;0;0;6894;
2020-10-28 14:00:00;25,67;12,6;1168;45,04;0;0;0;0;6904;
2020-10-28 13:00:00;24,19;11,7;1156;46,42;0;0;0;0;6904;
2020-10-28 12:00:00;22,51;11,8;1054;51,69;0;0;0;0;6904;
2020-10-28 11:00:00;20,17;12,4;879;62,02;0;0;0;0;6904;
2020-10-28 10:00:00;15,89;15,4;645;97,57;0;0;0;0;6914;
2020-10-28 09:00:00;14,04;14;245;100;0;0;0;0;6914;
2020-10-28 08:00:00;12,94;12,9;51;100;0;0;0;0;6748;
2020-10-28 07:00:00;12,83;12,7;0;100;0;0;0;0;6522;
2020-10-28 06:00:00;13,02;12,9;0;100;0;0;0;0;6512;
2020-10-28 05:00:00;13,62;13,5;0;100;0;0;0;0;6532;
2020-10-28 04:00:00;13,86;13,8;0;100;0;0;0;0;6542;
2020-10-28 03:00:00;13,65;13,6;0;100;0;0;0;0;6552;
2020-10-28 02:00:00;13,82;13,7;0;100;0,2;0;0;0;6562;
2020-10-28 01:00:00;14,2;14,1;0;100;0;0;0;0;6572;
2020-10-28 00:00:00;15,08;15;0;100;0;0;0;0;6582;2,5
2020-10-27 23:00:00;15,93;15,8;0;100;0;0;0;0;6562;
2020-10-27 22:00:00;16,34;16,2;0;99,74;0,6;0;0;0;6600;
2020-10-27 21:00:00;17,05;15,7;0;92,75;0;0;0;0;6660;
2020-10-27 20:00:00;18,4;12,6;11;70,4;0;0;0;0;6738;
2020-10-27 19:00:00;19,79;12,6;77;64,05;0;0;0;0;6854;
2020-10-27 18:00:00;21,53;12,5;314;56,98;0;0;0;0;6894;
2020-10-27 17:00:00;20,89;13,4;402;63,14;0;0;0;0;6904;
2020-10-27 16:00:00;19,95;13,2;257;65,75;0;0;0;0;6894;
2020-10-27 15:00:00;20,22;13;383;63,96;0;0;0;0;6904;
2020-10-27 14:00:00;21,01;14,6;574;67,37;0;0;0;0;6904;
2020-10-27 13:00:00;19,22;15,1;667;78,12;0;0;0;0;6904;
2020-10-27 12:00:00;18,73;15,4;461;81,85;0;0;0;0;6884;
2020-10-27 11:00:00;16,63;16,1;344;97,25;0;0;0;0;6914;
2020-10-27 10:00:00;15,41;15,3;270;100;0,2;0;0;0;6914;
2020-10-27 09:00:00;14,56;14,5;45;100;0;0;0;0;6728;
2020-10-27 08:00:00;14,39;14,3;59;100;0;0;0;0;6738;
2020-10-27 07:00:00;14,08;14;0;100;0,2;0;0;0;6522;
2020-10-27 06:00:00;14,85;14,8;0;100;1,6;0;0;0;6542;
2020-10-27 05:00:00;15,16;15,1;0;100;0,8;0;0;0;6552;
2020-10-27 04:00:00;15,37;15,3;0;100;1;0;0;0;6542;
2020-10-27 03:00:00;15,67;15,6;0;100;0,6;0;0;0;6542;
2020-10-27 02:00:00;16,37;16,3;0;100;0,4;0;0;0;6562;
2020-10-27 01:00:00;16,75;16,7;0;100;0,4;0;0;0;6562;
2020-10-27 00:00:00;16,66;16,6;0;100;2,4;0;0;0;6552;2,1
2020-10-26 23:00:00;16,77;16,7;0;100;2,8;0;0;0;6532;
2020-10-26 22:00:00;16,77;16,7;0;100;13,4;0;0;0;6572;
2020-10-26 21:00:00;18,94;18,8;0;100;2,8;0;0;0;6620;
2020-10-26 20:00:00;19,4;19,3;0;100;0;0;0;0;6718;
2020-10-26 19:00:00;19,57;19,5;39;100;0;0;0;0;6844;
2020-10-26 18:00:00;20,15;19,8;53;98,67;5,8;0;0;0;6894;
2020-10-26 17:00:00;21,54;19,2;101;87,35;0,2;0;0;0;6894;
2020-10-26 16:00:00;21,93;18,3;154;80,73;0;0;0;0;6894;
2020-10-26 15:00:00;22,69;18;285;75,79;0;0;0;0;6884;
2020-10-26 14:00:00;21,71;18;268;80,48;0,2;0;0;0;6904;
2020-10-26 13:00:00;23,35;16,1;278;64,73;0;0;0;0;6904;
2020-10-26 12:00:00;24;15,7;452;60,72;0;0;0;0;6894;
2020-10-26 11:00:00;23,42;15,5;529;62,05;0;0;0;0;6904;
2020-10-26 10:00:00;22,27;15;514;64,47;0;0;0;0;6904;
2020-10-26 09:00:00;20,56;14,7;176;69,84;0;0;0;0;6904;
2020-10-26 08:00:00;19,74;14,2;62;71,38;0;0;0;0;6718;
2020-10-26 07:00:00;19,64;14,3;0;72,25;0;0;0;0;6542;
2020-10-26 06:00:00;19,62;14,9;0;74,97;0;0;0;0;6542;
2020-10-26 05:00:00;20,08;15,2;0;74,77;0;0;0;0;6532;
2020-10-26 04:00:00;20,48;15,7;0;74,95;0;0;0;0;6552;
2020-10-26 03:00:00;20,61;16;0;75,84;0;0;0;0;6562;
2020-10-26 02:00:00;20,99;16,1;0;74,59;0;0;0;0;6562;
2020-10-26 01:00:00;21,05;16,2;0;74,73;0;0;0;0;6552;
2020-10-26 00:00:00;21,6;16,1;0;71,68;0;0;0;0;6542;5,1
2020-10-25 23:00:00;21,73;16;0;70,93;0;0;0;0;6542;
2020-10-25 22:00:00;23,1;15,9;0;64,75;0;0;0;0;6562;
2020-10-25 21:00:00;24,48;16,1;0;60,26;0;0;0;0;6600;
2020-10-25 20:00:00;25,48;16,3;12;57,73;0;0;0;0;6660;
2020-10-25 19:00:00;27,89;16,8;143;51,59;0;0;0;0;6796;
2020-10-25 18:00:00;30,49;17,2;417;45,63;0;0;0;0;6884;
2020-10-25 17:00:00;32,74;13,3;712;31,79;0;0;0;0;6884;
2020-10-25 16:00:00;32,66;13,1;811;31,13;0;0;0;0;6894;
2020-10-25 15:00:00;31,38;13,7;809;34,92;0;0;0;0;6894;
2020-10-25 14:00:00;31,35;14,9;1193;37,91;0;0;0;0;6894;
2020-10-25 13:00:00;29,55;14,7;1122;41,3;0;0;0;0;6894;
2020-10-25 12:00:00;28,25;16,4;1017;49,6;0;0;0;0;6894;
2020-10-25 11:00:00;25,92;17,2;844;59,49;0;0;0;0;6904;
2020-10-25 10:00:00;22,95;17;615;70,48;0;0;0;0;6904;
2020-10-25 09:00:00;20,13;17,4;303;85,41;0;0;0;0;6904;
2020-10-25 08:00:00;17,95;17;28;95,05;0;0;0;0;6728;
2020-10-25 07:00:00;17,4;16,3;0;94,74;0,2;0;0;0;6532;
2020-10-25 06:00:00;17,55;16,5;0;94,74;0;0;0;0;6542;
2020-10-25 05:00:00;17,71;16,6;0;94,57;0;0;0;0;6552;
2020-10-25 04:00:00;18,29;17,1;0;93,58;0;0;0;0;6542;
2020-10-25 03:00:00;18,68;17,5;0;93,9;0;0;0;0;6562;
2020-10-25 02:00:00;18,89;18,2;0;97,16;0;0;0;0;6562;
2020-10-25 01:00:00;19,12;19;0;99,88;0;0;0;0;6532;
2020-10-25 00:00:00;19,25;19,1;0;99,95;0;0;0;0;6532;4,8
2020-10-24 23:00:00;19,62;18,9;0;96,82;0;0;0;0;6552;
2020-10-24 22:00:00;20,86;18,7;0;88,55;0;0;0;0;6562;
2020-10-24 21:00:00;22,15;18,2;0;79,24;0;0;0;0;6620;
2020-10-24 20:00:00;23,51;17,3;13;69,17;0;0;0;0;6708;
2020-10-24 19:00:00;25,79;17,2;159;59,93;0;0;0;0;6826;
2020-10-24 18:00:00;28,46;17,5;348;52,17;0;0;0;0;6884;
2020-10-24 17:00:00;29,8;17,9;647;49,55;0;0;0;0;6894;
2020-10-24 16:00:00;31,18;14,5;820;37,44;0;0;0;0;6894;
2020-10-24 15:00:00;30,5;14,1;851;37,46;0;0;0;0;6894;
2020-10-24 14:00:00;29,91;15,4;1084;42,32;0;0;0;0;6894;
2020-10-24 13:00:00;27,78;15,7;1098;48,48;0;0;0;0;6894;
2020-10-24 12:00:00;25,81;16,1;1006;56,15;0;0;0;0;6894;
2020-10-24 11:00:00;23,77;15,8;821;61,95;0;0;0;0;6904;
2020-10-24 10:00:00;21,08;15,4;470;71,09;0;0;0;0;6904;
2020-10-24 09:00:00;19,14;15;181;77,97;0;0;0;0;6904;
2020-10-24 08:00:00;18,05;15,4;69;85,07;0;0;0;0;6766;
2020-10-24 07:00:00;17,58;15,6;0;89,16;0;0;0;0;6552;
2020-10-24 06:00:00;17,84;16,1;0;90,48;0;0;0;0;6542;
2020-10-24 05:00:00;16,99;16,8;0;99,44;0;0;0;0;6542;
2020-10-24 04:00:00;16,44;16,3;0;100;0;0;0;0;6542;
2020-10-24 03:00:00;17,17;17;0;99,81;0;0;0;0;6562;
2020-10-24 02:00:00;17,66;17,4;0;99,57;0;0;0;0;6562;
2020-10-24 01:00:00;17,74;16,9;0;95,75;0;0;0;0;6542;
2020-10-24 00:00:00;18,64;16,4;0;87,86;0;0;0;0;6532;1,1
2020-10-23 23:00:00;18,64;16,4;0;87,96;0;0;0;0;6552;
2020-10-23 22:00:00;19;17,3;0;90,91;0;0;0;0;6582;
2020-10-23 21:00:00;19,49;17,8;0;90,87;0;0;0;0;6610;
2020-10-23 20:00:00;20;17,7;7;87,31;0;0;0;0;6698;
2020-10-23 19:00:00;20,77;17,7;33;83,61;0;0;0;0;6786;
2020-10-23 18:00:00;21,56;17,3;85;77,69;0;0;0;0;6894;
2020-10-23 17:00:00;22,2;17;162;73,51;0;0;0;0;6874;
2020-10-23 16:00:00;22,71;16,8;232;69,89;0;0;0;0;6894;
2020-10-23 15:00:00;21,6;16,2;217;72,05;0;0;0;0;6894;
2020-10-23 08:00:00;18,58;14,1;61;75,99;0;0;0;0;6748;
2020-10-23 07:00:00;18,31;14;0;76,84;0;0;0;0;6542;
2020-10-23 06:00:00;18,41;14,1;0;76,91;0;0;0;0;6542;
2020-10-23 05:00:00;18,73;14,2;0;75,98;0;0;0;0;6532;
2020-10-23 04:00:00;18,81;14,5;0;76,76;0;0;0;0;6552;
2020-10-23 03:00:00;19,1;14,5;0;75,47;0;0;0;0;6532;
2020-10-23 02:00:00;19,27;14,5;0;74,53;0;0;0;0;6542;
2020-10-23 01:00:00;19,64;14,4;0;72,49;0;0;0;0;6562;
2020-10-23 00:00:00;20,09;14,4;0;70,57;0;0;0;0;6532;4,4
2020-10-22 23:00:00;20,71;14,6;0;68,7;0;0;0;0;6532;
2020-10-22 22:00:00;21,69;14,9;0;66,08;0;0;0;0;6572;
2020-10-22 21:00:00;22,44;15,9;0;67,2;0;0;0;0;6600;
2020-10-22 20:00:00;23,03;17,4;7;71,64;0;0;0;0;6688;
2020-10-22 19:00:00;25,41;17,4;144;62,05;0;0;0;0;6816;
2020-10-22 18:00:00;28,03;17,7;399;54,06;0;0;0;0;6884;
2020-10-22 17:00:00;28,79;17,8;663;52,23;0;0;0;0;6894;
2020-10-22 16:00:00;29,08;14,9;638;43,18;0;0;0;0;6894;
2020-10-22 15:00:00;28,51;14,5;827;43,04;0;0;0;0;6894;
2020-10-22 14:00:00;28,12;15,3;1001;46,31;0;0;0;0;6894;
2020-10-22 13:00:00;26,35;14,5;847;48,95;0;0;0;0;6894;
2020-10-22 12:00:00;25,1;14,5;780;52,52;0;0;0;0;6904;
2020-10-22 11:00:00;23,75;14,5;795;57,11;0;0;0;0;6904;
2020-10-22 10:00:00;21,75;14,9;596;66,02;0;0;0,1;0,6;6904;
2020-10-22 09:00:00;19,52;15,3;330;77,77;0;0;0,2;0,9;6904;
2020-10-22 08:00:00;16,05;15,7;58;98,62;0;0;0;0;6748;
2020-10-22 07:00:00;15,79;14,6;0;93,68;0;0;0;0;6552;
2020-10-22 06:00:00;15,95;14,8;0;93,64;0;0;0;0;6522;
2020-10-22 05:00:00;15,97;15,5;0;98,22;0;0;0;0;6532;
2020-10-22 04:00:00;16,57;15,6;0;94,77;0;0;0;0;6552;
2020-10-22 03:00:00;16,46;16;0;97,96;0;0;0;0;6562;
2020-10-22 02:00:00;16,25;16,1;0;100;0;0;0;0;6562;
2020-10-22 01:00:00;16,54;16,4;0;99,96;0;0;0;0;6562;
2020-10-22 00:00:00;17,22;16,7;0;97,71;0;0;0;0;6542;4,3
2020-10-21 23:00:00;17,7;16,7;0;94,99;0;0;0;0,2;6542;
2020-10-21 22:00:00;18,16;16,8;0;92,68;0;0;0;0,1;6590;
2020-10-21 21:00:00;18,71;16,8;0;89,84;0;0;0;0,1;6650;
2020-10-21 20:00:00;19,87;16,5;12;82,18;0;0;0;0,7;6718;
2020-10-21 19:00:00;22,11;16,3;139;70,48;0;0;0;0,2;6844;
2020-10-21 18:00:00;25,01;16,3;402;59,25;0;0;0;0;6884;
2020-10-21 17:00:00;26,17;15,2;572;51,64;0;0;0,1;0,6;6904;
2020-10-21 16:00:00;26,73;14,8;838;48,82;0;0;0;0;6894;
2020-10-21 15:00:00;26,38;14,9;916;50,08;0;0;0;0;6894;
2020-10-21 14:00:00;26,41;15,2;939;50,85;0;0;0,1;0,3;6894;
2020-10-21 13:00:00;25,52;15;910;53,37;0;0;0,1;0,2;6894;
2020-10-21 12:00:00;24,53;14,8;935;55,59;0;0;0;0,2;6904;
2020-10-21 11:00:00;23,2;14,4;608;58,65;0;0;0,2;0,5;6904;
2020-10-21 10:00:00;21;14,3;475;66,45;0;0;0,2;0,5;6904;
2020-10-21 09:00:00;18,54;16;251;86,51;0;0;0;0,2;6914;
2020-10-21 08:00:00;15,72;15,6;54;100;0;0;0;0;6816;
2020-10-21 07:00:00;15,31;15,2;0;99,91;0;0;0;0;6552;
2020-10-21 06:00:00;16,44;15,7;0;96,74;0;0;0;0;6532;
2020-10-21 05:00:00;16,17;16;0;99,93;0;0;0;0;6552;
2020-10-21 04:00:00;15,8;15,6;0;99,71;0;0;0;0;6552;
2020-10-21 03:00:00;16,09;14,9;0;93,67;0;0;0;0;6542;
2020-10-21 02:00:00;16,85;15;0;89,82;0;0;0;0;6562;
2020-10-21 01:00:00;17,94;14,7;0;82,32;0;0;0;0;6562;
2020-10-21 00:00:00;18,43;14,3;0;77,51;0;0;0;0,1;6542;4,7
